Avis
"Ce smartphone est très bien.Huawei à mis la barre très haut.Contrairement à d'autres personnes, j'ai bien reçu un téléphone neuf.Je confirme qu'il est bien dual-sim, on peut insérer deux cartes SIM dans le téléphone et ça fonctionne très bien.On a pas d'information à ce sujet dans la description Amazon et j'ai du envoyer un message au vendeur pour avoir la réponse, c'est vraiment dommage!!Un ami a pris ce téléphone chez Orange et il a reçu une version single-sim (il ne prend pas en charge la deuxième carte sim).Je me suis donc poser des questions mais au final je suis ravi puisque cette version prend bien en charge les deux cartes SIM.Voici une petite astuce pour savoir au premier coup d'oeil si un téléphone est dual-sim, il suffit de regarder sur la boite ou directement dans les réglages du téléphone (Système / A propos du téléphone), si il dispose de deux numéros IMEI, c'est qu'il est DUAL-SIM.Pour en revenir au téléphone en lui même son design est vraiment sympa, il fait penser à l'iPhone 10 avec son encoche en haut.Je recommande sans hésitation."
Je n ai pas acheté la version française et pourtant le téléphone par défaut est en français. J avais peur de passer sur Android et maintenant je ne regrette pas du tout. On peut cloner son i Phone du coup c est super simple
Pour ma part j'avais un Huawei p8 lite 2017 qui m'a très bien servie mais avec peux de mémoire le p20 lite a 64go et j'ai déjà mis bien plus que ce que j'avais besoin en application plus fluide meilleur qualité d'écrans l'effet sans bordure et excellent la seul chose que je trouve dommage et le fait que sur les 2 appareil photos arrière il y ai un décalage sur le centre optique j'ai dû tomber sur une mauvaise série. chargeur aux normes européennes et langue française au démarrage reste un excellent smartphone tiens bien la batterie en mode eco le son et bon et la qualité photos assez bonne très bon produit dans l'ensemble compenser jeudi reçu lundi
"C'est un smartphone d'un excellent rapport qualité/prixOffert à mon épouse en remplacement de son Iphone 7 plus, elle est ravie.Plus de Icloud, Itunes et autres joyeusetés propriétaires...Une bonne autonomie / bel écran fluide / Rapide et 3x moins cher qu'un IphoneQue demande le peuple"
"Pour: téléphoner en premier (ça marche), l'appareil photo (nickel), le seul inconvénient c'est sur les notifications !! il n'est pas possible de différentier la réception d'un sms ou mail !!je recommande ce tel."
Le téléphone est vraiment très maniable je suis passé d'un p-9 Huawei P20 Lite et je le regrette pas la seule chose un petit peu ennuyé sur ce téléphone est le temps de réaction lorsqu'on ouvre une application mais sinon il est très très bien
Attention commande reçu pas de portable dans le carton
"J'ai reçu ce téléphone en cadeau. Je connais bien ce téléphone vu que mon compagnon a le même. Il est très fonctionnel.Or, quand j'ai reçu le mien, il ne capte pas la 4G. Après plusieurs configurations, il capte la 4G mais n'a pas de réseau (barre) donc encore plus lent que si j'étais en 3G+. On a changé de sim, sur nos deux téléphones  (on est chez le même opérateur), et mon compagnon ne capte pas la 4G sur mon téléphone, alors que sur le sien aucun problème.A savoir que j'avais la 4G sur mon ancien téléphone (samsung S7)J'ai demandé le remboursement du téléphone (service client Amazon parfait!).J'irai acheter le téléphone chez Orange, vu qu'il est au même prix et j'aurais plus de garanties !!"
Téléphone répondant à mes attentes pour le moment SAUF que le chargeur fourni s'est de suite coincé dans ma prise. L'embout ne fonctionne pas et mtn dispose d'une seule dent ! Il a limite émet un sens d'explosion quand je l'ai branché. Très déçue de ce côté.Les écouteurs ne permettent pas d'entendre clairement la musique. Mauvaise qualité.
"J'ai rencontré le soucis de beaucoup de personnes, mais bon ça je l'ai découvert une fois en utilisation, le 1er jour TOP ! Vraiment contente de mon achat, un super appareil photo, facile d'utilisation... Le soir je l'ai éteint, le lendemain celui-ci me demandait mon code PIN + 1 code de déverrouillage ! j'ai donc essayé le code que j'avais rentré pour le verrouillage écran, ça ne fonctionnait pas ! J'ai donc rechercher comment faire sur internet, le conseil étant de le réinitialiser ! Super après avoir passé une journée à charger toutes mes applications ! Le téléphone re fonctionne après la réinitialisation, je re télécharge mes applications, le soir je ré éteint le téléphone. Et au moment de le rallumer : devinez ..... Code PIN + Code déverrouillage !!!!!!! Du coup renvoi du téléphone ! Remboursement rapide merci Amazon, ça franchement rien à dire ! Mais suis vraiment déçu pour le téléphone qui en lui-même quand il doit fonctionner normalement est top"
"Smartphone arrivé rapidement, en parfait etat.Bonne prise en main, bon appareil photo, assez rapide dans les menu, aucun crash d'application constaté (pour le moment), pour son prix, ce smartphone fait du très correct. Et le design est somptueux en bleu."
Arriver rapidement en excellente état il est vraiment top
"Je le acheté récemment et même après un jour, il a commencé à se comporter comme ça.Dans ce cas, j'ai immédiatement demandé un remboursement.Je mets 1 étoile juste pour cet article, j'espère que les autres sont comme on dit, c'est de la qualité."
Parfait pour mon fils qui a eu plusieurs téléphones d’autres marques. Il rivalise avec les grands. La qualité de photo est bonne et la reconnaissance faciale est très pratique
"J'utilise Huawei depuis leur début, je n'ai jamais été déçue au contraire, téléphone de qualité et très résistant aux chocs. Interface pratique ne bug pas comme d'autres marques à obsolescence programmée.. Super"
"J'ai reçu le téléphone ce soir, impossible d'ouvrir le système qui me permet de mettre ma carte sim ! Celui ci est bloqué, j'ai beau essayer avec une aiguille, et n'importe quel autre objet pointu, à part abîmé le téléphone l'emplacement de la carte Sim ne s'ouvre pas! C'est inadmissible d'envoyer des téléphones censés être neuf défectueux à ce point !"
"Très bon téléphone, puissant pour un rapport qualité /prix défiant toute concurrence. Tactile hyper fluide, très belle résolution d'écran... Ma fille est ravie"
Super téléphone. Mon ancien iPhone 6 ne marchait plus et je ne pouvais me permettre financièrement Apple. J'ai entendu parler d'huawei par des connaissances. J'ai choisi celui ci pour sa qualité photo et j'en suis RAVIE
"Corresponds parfaitement à mes attentes ainsi qu'à sa description. Top, rien à dire."
"Très bon produit, cependant lors de la livraison, descendu acheter du pain. Il a fallu que je me connecte sur mon compte Amazon pour savoir que mon Colis été chez le voisin !! Heureusement qu'ils me l'on vraiment donné et qu'ils ne l'on pas ouvert.C'est gravées !La Notice n'est pas en français + il y a déjà une coque transparente basic avec le téléphone. Ce pendant très bon téléphone."
"J'ai changé de téléphone venant de Samsung et ai decidé de m'orienter vers Huawei vu les bons commentaires sur la marque. Et pour le moment très déçu du téléphone. Après réception et installation de celui ci je remarque que la rotation automatique ne fonctionne pas. J'ai été dans un magasin Huawei où il a été réparé en deux jours. Problème apparemment sur la carte mère celle ci a donc été remplacé et maintenant c'est l'appareil photo avant qui ne fonctionne plus. Ça sera encore un retour en magasin. Au final pour le moment, que des problèmes et du temps de perdu avec ce téléphone!!!!"
"Pour le moment je suis très satisfait de se téléphone la reconnaissance facile fonctionne très bien, le reste aussi juste un petit avec le wifiJe recommande"
"Tout est nickel , sauf que le réseau wifi -4 G est très faible , ça marche pas dans les stations métro , et quand je suis parfois au niveau sous sol , je compte contacter le service technique pour résoudre ce problème , appart ça tout est parfait , j'adore la caméra , facil à utiliser , chic . Apart le problème réseau je crois avoir fait un bon choix , sachant que j'avais un iphone 5 avant ."
Téléphone génial aucun souci rencontré ! Plus que satisfaite je RECOMMANDE ce produit vraiment ! Double NANOSIM et possibilité de mettre une carte SD.Au top!!
Ressemble beaucoup à l’iPhone X je l’ai commander pour mon copain il en est très ravis. Reconnaissance faciale et même avec le doigt à l’arrière. Très léger. Rapide. Qualité photo faut pas attendre à l’iPhone mais c’est suffisant pour peu de photo.Bon rapport qualité prix.
"Le produit était conforme à la description - un Huawei P20 Lite - Cependant, après moins d'une semaine d'utilisation le GPS et la boussole on cessé de fonctionner en pleine utilisation. Je dois le retourner... c'est hélas le côté obscure de la commande en ligne.... J'espère obtenir l'échange ou le remboursement."
"Téléphone relativement bien dans l ensemble, mais le système de boussole/rotation ecran/accéléromètre etc.. Ne fonctionne pas.Retour demander via Amazon pour remboursement.D après un forum huawei le problème est récurent.. Je déconseille donc fortement tant que le problème sera pas résolu."
"Ecran de belle qualité, photos impeccables, navigation fluide, la reconnaissance tactile fonctionne très bienPar contre, gros bémol sur la qualité du son, elle est très mauvaise autant en haut parleur qu'avec leurs écouteurs livrés dans la boite (pas essayé avec un casque).La rotation ne fonctionne déjà plus après 3 semaines."
"Excellent article tres pratique et leger, je recommande vivement ce produit"
"Bonjour, je vient d'acquérir le huawei P20 lite ,sur le descriptif on doit me vendre un smartphone de 5.84""et a l'arriver il ne fait pas beaucoup plus de 5""passé ce détail je n'ai pas grand chose a dire, il sera utiliser après noel."
Très satisfaite de ce produit.Bel écran il est très rapide je ne regrette pas mon Samsung.Je recommande.
Je me suis fait un grand plaisir d'acheter ce smartphone et depuis je l'apprécie beaucoup.Notamment sa fluidité: je peux ouvrir en même temps 3-5 applications sans le faire planter (4GO de RAM) ; la qualité de l'appareil photo (avant et arrière) mais le mode panoramique n'est pas évident à le réaliser et il faut le déplacer de gauche à droite en horizontale et sa légèreté et son design.
"téléphone perforent  , bon qualité prix facile d utilisation , photos plutôt net.je pense qu au même prix il n y a pas mieux"
"Téléphone reçu 2 jours après la commande. Utilisation très facile, tout est en français et il a sauvegardé les données de l'ancien téléphone. Dans la boîte, il y a le chargeur, les écouteurs et une coque de protection transparente. Je ne regrette pas cet achat"
"Reçu dans les temps ,emballage ok ,produit conforme.Après 3 semaines d'utilisation la rotation automatique ne fonctionne plus, malgré qu'elle soit validée sur les paramètres ,retour du Huawei p20 lite dans le mois qui a suivi sans aucun problème par Amazon et remboursement effectué.J'ai acheté un Honor 8X à la place ,on verra si celui-là fonctionne mieux"
"Très bon ensemble m'a fille est ravi de la jolie couleur rose, désigne similaire à l'iphone X. Le prix du téléphone est résonnable comparer à la fnac au prix de 365 euros. Utilisation du téléphone depuis 2-3mois. Ce portable est parfait pour les personne n'ayant pas un grand budget. Je recommande ce produit.N'oublier pas de cliqué sur utile si cela à était le cas pour vous ✌️"
Utilisatrice du p10 lite qui n à aucun défaut.... J ai pris le p20 lite en bleu pour mon Noël. Le bleu est magnifique. La nouvelle forme du téléphone est plus élégante. Pas de défaut pour moi. Je recommande à 100%
Ce téléphone est super que ce soit niveau qualité ou niveau batterie. Rien à dire je le recommande
simple et léger très facile d'utilisation
Un très bon téléphone androïde que je recommande vivement très facile d’utilisation mais pour quand même pas pour personne âge un difficile au début très beau et fonctionnel et fait de très belles photos
Super téléphone malgré sa batterie de dimension plutôt légère à une autonomie de 48 heures ce qui n'est pas mal photos de qualité les films nickel petit problème de réglage au niveau de la messagerie rien de méchant pour changer les couleurs et le vibreur en alarme hormis ça tout va bien
Produit neufTéléphone très réactifLéger. Utilisation très facileJe suis ravie moi qui passe d'un Samsung s6 à ce Huawei p20 lite
très bon Smartphonefacile a utiliser et de qualitéprend de très belle photosje le recommande
"Légèrement plus puissant que ce qui est écrit (peu importe et tant mieux).- La batterie tiens 13h sur Youtube (non stop) et 1j en mode ""passif"" = Parie tenue- Le processeur est très performant- L'appareil photo aussi et ne possède pas les ""blu reflet""- La RAM est assez nombreuse"
"Je l'adore, ce téléphone est parfait. Je les commandé vendredi en prime il est arrivé aujourd'hui avec colis privé dans un bonne état. Je recommande fortement ce téléphone. Très bon rapport qualité prix."
J'adore ce téléphone facile à configurer.De bonne qualité avec un bon prix.À recommander
"Gyroscope défectueux se traduisant par la non-fonctionnalité de tout ce qui touche à la localisation spatiale du téléphone : rotation de l'écran, boussole, ...Heureusement, l'équipe Amazon permet de retourner l'article (en cours), j'attends mon remboursement."
"Tout à fait satisfaite de mon achat. Facile d'utilisation, appareil photo nickel, toute les options sont très facile à appliquer. Je recommande ce téléphone."
"J'adore ce téléphone il est enfin à moi, et pour le prix franchement c'est très recommandable !Plus besoin de déboursé des sommes folles pour le même rendu de qualité avec ce Huawei p20 Lite !"
"L'appareil est compacte et léger. Fonctionne correctement. Bonne fluidité. Le seul point négatif a mon gout c'est la surcouche Huawei. Android pur est si agréable, pourquoi en rajouter !"
"Utilisatrice modérée, supporte les Gilets Jaunes, bon appareil, comparable au Samsung, affichage de belle qualité, système android à l'instar de Samsung, photos de très bonne qualité, simple d'utilisation, prix en promo avec package de protection."
"Bonjour, j'ai acheter ce smartphone le 2 janvier je vient de le recevoir. Je suis impressionné par la taille de l'écran, très rapide d'utilisation. La qualité d'image est génial. Niveau batterie il  y as l'air de bien tenir.Comparé à mon Samsung A5 je peut dire que Huawei a mis la barre haute.Je le conseils vivement.Merci à Amazon.com pour l'envoie rapide."
Reconnaissance faciale empreinte digitaleMot de passeLook très simpaJe ne regrette pas mon achat
Le téléphone en soit il est très bien mais je m'attendais à mieux parce que ça fait 15 jours que je l'ai et il commence à bugger déjà
"Alors, la génial ! J'étais surpris du téléphone il est vraiment génial très facile à apprendre il y a une reconnaissance facile très développé j'ai rien d'autre à ajouter que c'est un téléphone parfait ! Juste pour les grands amateurs de photo / vidéo c'est pas toptop"
"Après 1 mois d'utilisation, le ressentit général est assez positif, bonne autonomie."
Fonctionne super bien. Reçu dans les temps. Coque et film protecteur fourni avec le téléphone. Alors que c’etait pas marqué.
"Rapide, beau, écran très lisible, les photos sont correctes, il est beaucoup mieux que mon vieux Lumia 830 😊 Pour le moment, je ne vois pas de grands défauts !"
"Le téléphone est très bien, mais je l'ai reçu avec la partie arrière fendue de l'appareil photo jusqu'au bas droit. Tout neuf est déjà abimé...."
Très bon smartphone. Largement suffisant.Photo correctAutonomie correctRecharge rapideMa femme est ravie... Moi aussi
"Je suis très satisfaite de mon téléphone, léger, beau, agréable à manipuler. La batterie tient très bien ( elle est neuve dc bon normal), l’esthétique du téléphone est vraiment sympa, les applications aussi. Photo / vidéo super qualité. Je recommande ce téléphone !"
"Téléphone très capricieux , avec une rotation de l écran qui ne fonctionne pas malgres plusieurs reboot  , a envoyer longuement en garantie ..."
Il correspond aux commentaires.Prise en main relativement facileBelles photos le jour par contre la nuit je ne suis pas satisfaite du résultat : pas trop eu le temps de régler. J'avais mis le flash automatique ??? pas terrible à revoir.
"Je l'utilise depuis début décembre, prise en main très pratique, le capteur d'empreinte digitale à l'arrière est un plus non négligeable. Rien à redireEt esthétiquement je le trouve très élégant avec la coque arrière en verre"
Téléphone super. Facile d'utilisation.Répond très bien. Rapide.La qualité de l'appareil photo est vraiment super
"bien mais le haut de l’écran est cache par l'appareille frontal et la rotation automatique ne marche que d'un coté, de plus le système de notifications est différent de d'habitude ce qui peut perturber"
"Je recommande ce téléphoneFacile, qualité photo plutôt bien, beug pas, chargement de batterie ultra rapide et tiens bien"
Mon conjoint est très satisfait de cet article ce téléphone est vraiment bien léger grand comme on le souhaite comparé au prix du commerce il vaut vraiment le coup
Conforme à ce que j'attendais. Facile à prendre en main. Super pour les photos. Fonction NFC ok.
